"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2020-12-27T06:51:49-08:00","112-1437889-4132218","AN-US-HBXJ8","B075RVVQQF","B075RVVQQF","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","MCI7","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM255118623",
"2020-12-27T06:42:47-08:00","114-1515870-2659463","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","TUS1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM300391042",
"2020-12-26T23:22:29-08:00","114-0854124-8821069","AN-US-RB37","B074FGM9KS","B074FGM9KS","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for shoes, boots, Slippers (3x7-tier)","1","LUK7","SELLABLE","MISSING_PARTS","Unit returned to inventory","LPNRR970254521",
"2020-12-26T18:46:26-08:00","114-2613021-6840240","AN-US-BMW-16","B074FGGCSV","B074FGGCSV","JOISCOPE MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Spa","1","TUS1","CARRIER_DAMAGED","DEFECTIVE","Reimbursed","LPNPM297217897",
"2020-12-26T18:14:15-08:00","112-2386101-8165861","AN-US-BMW12","B074FKKTCV","B074FKKTCV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","LUK7","CUSTOMER_DAMAGED","NOT_AS_DESCRIBED","Repackaged Successfully","LPNRRAC5035982",
"2020-12-26T18:05:41-08:00","111-8482205-5649059","AN-US-RB27","B074FLWHTZ","B074FLWHTZ","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet Shelving for Space Saving, Shoe Rack Shelves for Shoes, Boots, Slippers (2x7-tier)","1","LEX2","CARRIER_DAMAGED","MISSING_PARTS","Reimbursed","LPNPM318881849",
"2020-12-26T17:12:03-08:00","112-2112481-1424215","AN-US-TMBLK27","B082WVQRHS","X002ICPJB9","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (black,2x7-tier)","1","CVG2","CUSTOMER_DAMAGED","UNAUTHORIZED_PURCHASE","Reimbursed","LPNRRAR8869142",
"2020-12-26T13:15:48-08:00","111-2742594-8913054","AN-US-TMBLK37","B082WTZGS6","X002ICZ987","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (Black,3x7-tier)","1","TUS1","CARRIER_DAMAGED","NOT_AS_DESCRIBED","Reimbursed","LPNPM301466820",
"2020-12-26T11:01:34-08:00","111-3524598-5928201","AN-US-HBXJ16a","B075RWG4H3","B075RWG4H3","JOISCOPE Portable Wardrobe for Hanging Clothes, Combination Armoire, Modular Cabinet for Space Saving, Ideal Storage Organizer Cube for Books, Toys, T","1","TEN1","DEFECTIVE","DEFECTIVE","Reimbursed","LPNPM268253662","defect"
"2020-12-26T05:08:53-08:00","111-3280274-6121829","AN-US-RB110","B074FPW45V","B074FPW45V","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Shoe Rack Ideal for Shoes, Boots, Slippers (1x10-tier, White)","1","LEX2","CARRIER_DAMAGED","UNWANTED_ITEM","Reimbursed","LPNPM306491276",
"2020-12-24T10:22:22-08:00","113-7313738-7737855","AN-US-TMWHT37","B082WV6T4N","X002ICESUR","JOISCOPE Portable Shoe Storage Organzier Tower, Modular Cabinet for Space Saving, Ideal Shoe Rack for Shoes, Boots, Slippers (White,3x7-tier)","1","CVG2","DEFECTIVE","MISSING_PARTS","Unit returned to inventory","LPNRRAR8955236","Parts that connect the boxes are missing"
"2020-12-24T08:06:49-08:00","112-9320073-7502600","AN-US-BMW20","B074FJ91BV","B074FJ91BV","MEGAFUTURE Plastic Wardrobe, Portable Wardrobe with Wood Grain Pattern,Closet for Hanging ClothesCombination Armoire, Modular Cabinet for Space Saving","1","CVG2","CUSTOMER_DAMAGED","UNWANTED_ITEM","Unit returned to inventory","LPNRRAR5332311",
